주차장관리번호,주차장명,주차장구분,주차장유형,소재지도로명주소,소재지지번주소,주차구획수,급지구분,부제시행구분,운영요일,평일운영시작시각,평일운영종료시각,토요일운영시작시각,토요일운영종료시각,공휴일운영시작시각,공휴일운영종료시각,요금정보,주차기본시간,주차기본요금,추가단위시간,추가단위요금,1일주차권요금적용시간,1일주차권요금,월정기권요금,결제방법,특기사항,관리기관명,전화번호,위도,경도,장애인전용주차구역보유여부,데이터기준일자,제공기관코드,제공기관명,주소,전체주소,시도
105-1-000002,청량리시장제4,공영,노상,서울특별시 동대문구 경동시장로47,서울특별시 동대문구 제기동 768,49,2,미시행,평일+토요일,09:00,19:00,09:00,15:00,00:00,00:00,혼합,10.0,500.0,10.0,500.0,,,,계좌이체,경차 50프로 할인+저공해 50프로 할인+장애인 차량 80프로 할인+고엽제 80프로 할인+국가유공자 80프로 할인+다둥이50프로 할인+모범납세자 100프로 할인,동대문구시설관리공단,02-6929-0895,37.58325164,127.0401598,,2024-07-04,3050000,서울특별시 동대문구,,서울특별시 동대문구 경동시장로47,서울특별시
105-1-000003,청량리시장제3,공영,노상,서울특별시 동대문구 경동시장로40,서울특별시 동대문구 제기동 620-2,67,2,미시행,평일+토요일,09:00,19:00,09:00,15:00,00:00,00:00,혼합,10.0,1000.0,10.0,1000.0,,,,신용카드+계좌이체,경차 50프로 할인+저공해 50프로 할인+장애인 차량 80프로 할인+고엽제 80프로 할인+국가유공자 80프로 할인+다둥이50프로 할인+모범납세자 100프로 할인,동대문구시설관리공단,02-6929-0895,37.58242616,127.040656,,2024-07-04,3050000,서울특별시 동대문구,,서울특별시 동대문구 경동시장로40,서울특별시
105-1-000004,청량리시장제2,공영,노상,서울특별시 동대문구 경동시장로19-1,서울특별시 동대문구 제기동 988,45,2,미시행,평일+토요일,09:00,19:00,09:00,15:00,00:00,00:00,혼합,10.0,1000.0,10.0,1000.0,,,,신용카드+계좌이체,경차 50프로 할인+저공해 50프로 할인+장애인 차량 80프로 할인+고엽제 80프로 할인+국가유공자 80프로 할인+다둥이50프로 할인+모범납세자 100프로 할인,동대문구시설관리공단,02-6929-0895,37.5807432,127.0403784,,2024-07-04,3050000,서울특별시 동대문구,,서울특별시 동대문구 경동시장로19-1,서울특별시
166-2-000009,대정(건축물),공영,노외,인천광역시 부평구 주부토로 19(부평동) 일원,인천광역시 부평구 부평동 374-5,107,2,요일제,평일+토요일+공휴일,00:00,00:00,00:00,00:00,00:00,00:00,유료,30.0,600.0,15.0,300.0,300.0,6000.0,60000.0,"현금,신용카드","국가유공자, 장애인, 고엽제휴유증환자, 의사상자, 65세 이상 노인  1시간 감면 후 50프로 감면, 경차 이륜자동차 60프로 감면, 모범납세자(성실납세증 표시 부착 차량), 시장발급 자원봉사증 소지자가 봉사활동을 위해 주차 시 100프로 감면, 아이모아카드 소유자 및 다자녀(세자녀 이상) 가정 증빙서류(등본, 건강보험카드 등) 지참 시, 승용차부제 참여자, 저공해자동차 운행(외부에 식별 표지 부착) 50프로감면(월정기 제외)",인천광역시 부평구시설관리공단,032-262-9229,37.4562557,126.7052062,,2017-05-29,B551294,인천광역시부평구시설관리공단,,인천광역시 부평구 주부토로 19(부평동) 일원,인천광역시
166-2-000008,삼산해돋이공원,공영,노외,인천광역시 부평구 충선로311번길 31(삼산동) 일원,인천광역시 부평구 삼산2동 428-1,49,3,요일제,평일,09:00,19:00,00:00,00:00,00:00,00:00,유료,30.0,400.0,15.0,200.0,300.0,4000.0,40000.0,"현금,신용카드","국가유공자, 장애인, 고엽제휴유증환자, 의사상자, 65세 이상 노인  1시간 감면 후 50프로 감면, 경차 이륜자동차 60프로 감면, 모범납세자(성실납세증 표시 부착 차량), 시장발급 자원봉사증 소지자가 봉사활동을 위해 주차 시 100프로 감면, 아이모아카드 소유자 및 다자녀(세자녀 이상) 가정 증빙서류(등본, 건강보험카드 등) 지참 시, 승용차부제 참여자, 저공해자동차 운행(외부에 식별 표지 부착) 50프로감면(월정기 제외)",인천광역시 부평구시설관리공단,032-262-9229,37.5167605,126.7331162,,2017-05-29,B551294,인천광역시부평구시설관리공단,,인천광역시 부평구 충선로311번길 31(삼산동) 일원,인천광역시
166-2-000007,부평시장(건축물),공영,노외,인천광역시 부평구 시장로61번길 11(부평동) 일원,인천광역시 부평구 부평4동 239-3,185,2,요일제,평일+토요일+공휴일,00:00,00:00,00:00,00:00,00:00,00:00,유료,30.0,600.0,15.0,300.0,300.0,6000.0,60000.0,"현금,신용카드","국가유공자, 장애인, 고엽제휴유증환자, 의사상자, 65세 이상 노인  1시간 감면 후 50프로 감면, 경차 이륜자동차 60프로 감면, 모범납세자(성실납세증 표시 부착 차량), 시장발급 자원봉사증 소지자가 봉사활동을 위해 주차 시 100프로 감면, 아이모아카드 소유자 및 다자녀(세자녀 이상) 가정 증빙서류(등본, 건강보험카드 등) 지참 시, 승용차부제 참여자, 저공해자동차 운행(외부에 식별 표지 부착) 50프로감면(월정기 제외)",인천광역시 부평구시설관리공단,032-262-9230,37.4960046,126.7270041,,2017-05-29,B551294,인천광역시부평구시설관리공단,,인천광역시 부평구 시장로61번길 11(부평동) 일원,인천광역시
166-2-000006,부개1차,공영,노외,인천광역시 부평구 부개로 71-14(부개동) 일원,인천광역시 부평구 부개동 496-13,51,2,요일제,평일+토요일,09:00,19:00,09:00,17:00,00:00,00:00,유료,30.0,600.0,15.0,300.0,300.0,6000.0,60000.0,"현금,신용카드","국가유공자, 장애인, 고엽제휴유증환자, 의사상자, 65세 이상 노인  1시간 감면 후 50프로 감면, 경차 이륜자동차 60프로 감면, 모범납세자(성실납세증 표시 부착 차량), 시장발급 자원봉사증 소지자가 봉사활동을 위해 주차 시 100프로 감면, 아이모아카드 소유자 및 다자녀(세자녀 이상) 가정 증빙서류(등본, 건강보험카드 등) 지참 시, 승용차부제 참여자, 저공해자동차 운행(외부에 식별 표지 부착) 50프로감면(월정기 제외)",인천광역시 부평구시설관리공단,032-262-9229,37.5041906,126.7387031,,2017-05-29,B551294,인천광역시부평구시설관리공단,,인천광역시 부평구 부개로 71-14(부개동) 일원,인천광역시
166-2-000005,삼산동(갈월),공영,노외,인천광역시 부평구 후정동로 32(삼산동) 일원,인천광역시 부평구 삼산동 74-20,156,4,요일제,평일,09:00,19:00,00:00,00:00,00:00,00:00,유료,30.0,300.0,15.0,150.0,300.0,3000.0,30000.0,"현금,신용카드","국가유공자, 장애인, 고엽제휴유증환자, 의사상자, 65세 이상 노인  1시간 감면 후 50프로 감면, 경차 이륜자동차 60프로 감면, 모범납세자(성실납세증 표시 부착 차량), 시장발급 자원봉사증 소지자가 봉사활동을 위해 주차 시 100프로 감면, 아이모아카드 소유자 및 다자녀(세자녀 이상) 가정 증빙서류(등본, 건강보험카드 등) 지참 시, 승용차부제 참여자, 저공해자동차 운행(외부에 식별 표지 부착) 50프로감면(월정기 제외)",인천광역시 부평구시설관리공단,032-512-8634,37.5198649,126.7387108,,2017-05-29,B551294,인천광역시부평구시설관리공단,,인천광역시 부평구 후정동로 32(삼산동) 일원,인천광역시
166-2-000004,갈산역,공영,노외,인천광역시 부평구 부평대로278번길 8(갈산동) 일원,인천광역시 부평구 갈산동 192,131,2,요일제,평일+토요일+공휴일,09:00,19:00,09:00,17:00,09:00,17:00,유료,30.0,600.0,15.0,300.0,300.0,6000.0,60000.0,신용카드,"국가유공자, 장애인, 고엽제휴유증환자, 의사상자, 65세 이상 노인  1시간 감면 후 50프로 감면, 경차 이륜자동차 60프로 감면, 모범납세자(성실납세증 표시 부착 차량), 시장발급 자원봉사증 소지자가 봉사활동을 위해 주차 시 100프로 감면, 아이모아카드 소유자 및 다자녀(세자녀 이상) 가정 증빙서류(등본, 건강보험카드 등) 지참 시, 승용차부제 참여자, 저공해자동차 운행(외부에 식별 표지 부착) 50프로감면(월정기 제외)",인천광역시 부평구시설관리공단,032-512-9227,37.5155166,126.7238652,,2017-05-29,B551294,인천광역시부평구시설관리공단,,인천광역시 부평구 부평대로278번길 8(갈산동) 일원,인천광역시
166-2-000003,부평구청역,공영,노외,인천광역시 부평구 부평대로165번길(부평동) 일원,인천광역시 부평구 부평동 52-45,434,2,요일제,평일,09:00,19:00,00:00,00:00,00:00,00:00,유료,30.0,600.0,15.0,300.0,300.0,6000.0,60000.0,신용카드,"국가유공자, 장애인, 고엽제휴유증환자, 의사상자, 65세 이상 노인  1시간 감면 후 50프로 감면, 경차 이륜자동차 60프로 감면, 모범납세자(성실납세증 표시 부착 차량), 시장발급 자원봉사증 소지자가 봉사활동을 위해 주차 시 100프로 감면, 아이모아카드 소유자 및 다자녀(세자녀 이상) 가정 증빙서류(등본, 건강보험카드 등) 지참 시, 승용차부제 참여자, 저공해자동차 운행(외부에 식별 표지 부착) 50프로감면(월정기 제외)",인천광역시 부평구시설관리공단,032-262-9229,37.5058342,126.7206155,,2017-05-29,B551294,인천광역시부평구시설관리공단,,인천광역시 부평구 부평대로165번길(부평동) 일원,인천광역시
165-2-000100,도림제1,공영,노외,,인천광역시 남동구 도림동 652-1,10,기타,미시행,평일+토요일+공휴일,00:00,23:59,00:00,23:59,00:00,23:59,무료,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,인천광역시 남동구 도시관리공단,032-460-0530,37.42214547,126.7293332,,2024-11-11,3530000,인천광역시 남동구,,인천광역시 남동구 도림동 652-1,인천광역시
165-2-000101,백범,공영,노외,인천광역시 남동구 백범로 277 (간석동),인천광역시 남동구 간석2동 8-2,6,기타,미시행,평일+토요일+공휴일,00:00,23:59,00:00,23:59,00:00,23:59,무료,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,인천광역시 남동구 도시관리공단,032-460-0530,37.46162946,126.7185154,,2024-11-11,3530000,인천광역시 남동구,,인천광역시 남동구 백범로 277 (간석동),인천광역시
165-2-000104,만월8호,공영,노외,,인천광역시 남동구 만수3동 111-186,10,기타,미시행,평일+토요일+공휴일,00:00,23:59,00:00,23:59,00:00,23:59,무료,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,인천광역시 남동구 도시관리공단,032-460-0530,37.4621657,126.7264527,,2024-11-11,3530000,인천광역시 남동구,,인천광역시 남동구 만수3동 111-186,인천광역시
165-2-000105,만월9호,공영,노외,,인천광역시 남동구 만수3동 866-24,3,기타,미시행,평일+토요일+공휴일,00:00,23:59,00:00,23:59,00:00,23:59,무료,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,인천광역시 남동구 도시관리공단,032-460-0530,37.46023781,126.7281583,,2024-11-11,3530000,인천광역시 남동구,,인천광역시 남동구 만수3동 866-24,인천광역시
165-2-000106,만월10호,공영,노외,,인천광역시 남동구 만수3동 111-92,16,기타,미시행,평일+토요일+공휴일,00:00,23:59,00:00,23:59,00:00,23:59,무료,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,인천광역시 남동구 도시관리공단,032-460-0530,37.46138096,126.7278079,,2024-11-11,3530000,인천광역시 남동구,,인천광역시 남동구 만수3동 111-92,인천광역시
165-2-000107,주원,공영,노외,,인천광역시 남동구 간석4동 371-2,6,기타,미시행,평일+토요일+공휴일,00:00,23:59,00:00,23:59,00:00,23:59,무료,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,인천광역시 남동구 도시관리공단,032-460-0530,37.46554856,126.7011308,,2024-11-11,3530000,인천광역시 남동구,,인천광역시 남동구 간석4동 371-2,인천광역시
165-2-000108,석천로,공영,노외,,인천광역시 남동구 간석2동 137-11,11,기타,미시행,평일+토요일+공휴일,00:00,23:59,00:00,23:59,00:00,23:59,무료,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,인천광역시 남동구 도시관리공단,032-460-0530,37.46122578,126.7129232,,2024-11-11,3530000,인천광역시 남동구,,인천광역시 남동구 간석2동 137-11,인천광역시
165-2-000109,진주제4호,공영,노외,인천광역시 남동구 구월말로 104(만수동),인천광역시 남동구 만수5동 895-4,43,3,미시행,평일+토요일+공휴일,00:00,23:59,00:00,23:59,00:00,23:59,유료,30.0,400.0,15.0,200.0,5.0,4000.0,40000.0,카드,,인천광역시 남동구 도시관리공단,032-460-0530,37.45815049,126.725933,,2024-11-11,3530000,인천광역시 남동구,,인천광역시 남동구 구월말로 104(만수동),인천광역시
165-2-000110,남동공단1(정기차량전용),공영,노외,인천광역시 남동구 함박뫼로347번길 60 (남촌동),인천광역시 남동구 남촌동 624-14,62,3,미시행,평일+토요일+공휴일,00:00,23:59,00:00,23:59,00:00,23:59,유료,30.0,400.0,15.0,200.0,5.0,4000.0,40000.0,카드,,인천광역시 남동구 도시관리공단,032-460-0530,37.4155683,126.7043672,,2024-11-11,3530000,인천광역시 남동구,,인천광역시 남동구 함박뫼로347번길 60 (남촌동),인천광역시
165-2-000111,남동공단2,공영,노외,인천광역시 남동구 논곡로 13(남촌동),인천광역시 남동구 남촌동 644,225,3,미시행,평일+토요일+공휴일,00:00,23:59,00:00,23:59,00:00,23:59,유료,30.0,400.0,15.0,200.0,5.0,4000.0,40000.0,카드,,인천광역시 남동구 도시관리공단,032-460-0530,37.42002784,126.7109883,,2024-11-11,3530000,인천광역시 남동구,,인천광역시 남동구 논곡로 13(남촌동),인천광역시
165-2-000112,소래제5호,공영,노외,,인천광역시 남동구 논현1동 66-99,101,1,미시행,평일+토요일+공휴일,00:00,23:59,00:00,23:59,00:00,23:59,유료,30.0,1000.0,15.0,500.0,5.0,10000.0,100000.0,카드,,인천광역시 남동구 도시관리공단,032-460-0531,37.40142081,126.7394011,,2024-11-11,3530000,인천광역시 남동구,,인천광역시 남동구 논현1동 66-99,인천광역시
165-2-000113,돌산마루1호,공영,노외,인천광역시 남동구 용천로176번길 71 (간석동 청양그린빌라),인천광역시 남동구 간석3동 940-1,148,3,미시행,평일+토요일+공휴일,00:00,23:59,00:00,23:59,00:00,23:59,유료,30.0,400.0,15.0,200.0,5.0,4000.0,40000.0,카드,,인천광역시 남동구 도시관리공단,032-460-0530,37.46501613,126.7182786,,2024-11-11,3530000,인천광역시 남동구,,인천광역시 남동구 용천로176번길 71 (간석동 청양그린빌라),인천광역시
165-2-000114,문화서제4호(정기차량전용),공영,노외,인천광역시 남동구 문화로133번길 38-8 (구월동),인천광역시 남동구 구월3동 1108-12,13,3,미시행,평일+토요일+공휴일,00:00,23:59,00:00,23:59,00:00,23:59,유료,30.0,400.0,15.0,200.0,5.0,4000.0,40000.0,카드,,인천광역시 남동구 도시관리공단,032-460-0530,37.4515184,126.6977566,,2024-11-11,3530000,인천광역시 남동구,,인천광역시 남동구 문화로133번길 38-8 (구월동),인천광역시
165-2-000116,양지제2호(정기차량전용),공영,노외,인천광역시 남동구 구월로125번길 64-4(간석동),인천광역시 남동구 간석1동 416-1,19,3,미시행,평일+토요일+공휴일,00:00,23:59,00:00,23:59,00:00,23:59,유료,30.0,400.0,15.0,200.0,5.0,4000.0,40000.0,카드,,인천광역시 남동구 도시관리공단,032-460-0530,37.45970285,126.7045922,,2024-11-11,3530000,인천광역시 남동구,,인천광역시 남동구 구월로125번길 64-4(간석동),인천광역시
165-2-000117,학생안전체험관,공영,노외,인천광역시 남동구 구월남로232번길 31(구월동),인천광역시 남동구 구월1동 1226,142,3,미시행,평일+토요일+공휴일,00:00,23:59,00:00,23:59,00:00,23:59,유료,30.0,400.0,15.0,200.0,5.0,4000.0,40000.0,카드,,인천광역시 남동구 도시관리공단,032-460-0530,37.45186067,126.7158791,,2024-11-11,3530000,인천광역시 남동구,,인천광역시 남동구 구월남로232번길 31(구월동),인천광역시
165-2-000120,모래마을제5호(정기차량전용),공영,노외,인천광역시 남동구 호구포로790번길 41-11(구월동 신명뜨란채),인천광역시 남동구 구월4동 1269-5,10,3,미시행,평일+토요일+공휴일,00:00,23:59,00:00,23:59,00:00,23:59,유료,30.0,400.0,15.0,200.0,5.0,4000.0,40000.0,카드,,인천광역시 남동구 도시관리공단,032-460-0530,37.45316384,126.7213949,,2024-11-11,3530000,인천광역시 남동구,,인천광역시 남동구 호구포로790번길 41-11(구월동 신명뜨란채),인천광역시
165-2-000122,문화서제2호(정기차량전용),공영,노외,인천광역시 남동구 문화서로65번길 20-25(구월동),인천광역시 남동구 구월3동 1103-3,21,3,미시행,평일+토요일+공휴일,00:00,23:59,00:00,23:59,00:00,23:59,유료,30.0,400.0,15.0,200.0,5.0,4000.0,40000.0,카드,,인천광역시 남동구 도시관리공단,032-460-0530,37.45186949,126.6952754,,2024-11-11,3530000,인천광역시 남동구,,인천광역시 남동구 문화서로65번길 20-25(구월동),인천광역시
165-2-000123,문화서제3호(정기차량전용),공영,노외,,인천광역시 남동구 구월3동 1377,18,3,미시행,평일+토요일+공휴일,00:00,23:59,00:00,23:59,00:00,23:59,유료,30.0,400.0,15.0,200.0,5.0,4000.0,40000.0,카드,,인천광역시 남동구 도시관리공단,032-460-0530,37.4467694,126.6968895,,2024-11-11,3530000,인천광역시 남동구,,인천광역시 남동구 구월3동 1377,인천광역시
165-2-000124,주원제2호,공영,노외,인천광역시 남동구 벽돌말로 19,인천광역시 남동구 간석4동 577-2,17,3,미시행,평일+토요일+공휴일,00:00,23:59,00:00,23:59,00:00,23:59,유료,30.0,400.0,15.0,200.0,5.0,4000.0,40000.0,카드,,인천광역시 남동구 도시관리공단,032-460-0530,37.46608374,126.7006355,,2024-11-11,3530000,인천광역시 남동구,,인천광역시 남동구 벽돌말로 19,인천광역시
165-2-000079,만부 제1호,공영,노외,,인천광역시 남동구 만수2동 1-148,17,기타,미시행,평일+토요일+공휴일,00:00,23:59,00:00,23:59,00:00,23:59,무료,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,인천광역시 남동구 도시관리공단,032-460-0530,37.46548856,126.7379509,,2024-11-11,3530000,인천광역시 남동구,,인천광역시 남동구 만수2동 1-148,인천광역시
165-2-000081,만부 제3호,공영,노외,,인천광역시 남동구 만수2동 1-90,6,기타,미시행,평일+토요일+공휴일,00:00,23:59,00:00,23:59,00:00,23:59,무료,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,인천광역시 남동구 도시관리공단,032-460-0530,37.46700389,126.7386586,,2024-11-11,3530000,인천광역시 남동구,,인천광역시 남동구 만수2동 1-90,인천광역시
165-2-000082,만월2호,공영,노외,,인천광역시 남동구 만수3동 109-303,7,기타,미시행,평일+토요일+공휴일,00:00,23:59,00:00,23:59,00:00,23:59,무료,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,인천광역시 남동구 도시관리공단,032-460-0530,37.46452914,126.7275431,,2024-11-11,3530000,인천광역시 남동구,,인천광역시 남동구 만수3동 109-303,인천광역시
165-2-000083,만월3호,공영,노외,,인천광역시 남동구 만수3동 109-322,4,기타,미시행,평일+토요일+공휴일,00:00,23:59,00:00,23:59,00:00,23:59,무료,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,인천광역시 남동구 도시관리공단,032-460-0530,37.46424183,126.7276383,,2024-11-11,3530000,인천광역시 남동구,,인천광역시 남동구 만수3동 109-322,인천광역시
165-2-000084,만월4호,공영,노외,,인천광역시 남동구 만수3동 109-49,8,기타,미시행,평일+토요일+공휴일,00:00,23:59,00:00,23:59,00:00,23:59,무료,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,인천광역시 남동구 도시관리공단,032-460-0530,37.46383655,126.728493,,2024-11-11,3530000,인천광역시 남동구,,인천광역시 남동구 만수3동 109-49,인천광역시
165-2-000085,만월5호,공영,노외,,인천광역시 남동구 만수3동 111-385,3,기타,미시행,평일+토요일+공휴일,00:00,23:59,00:00,23:59,00:00,23:59,무료,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,인천광역시 남동구 도시관리공단,032-460-0530,37.46193123,126.7264341,,2024-11-11,3530000,인천광역시 남동구,,인천광역시 남동구 만수3동 111-385,인천광역시
165-2-000086,만월6호,공영,노외,,"인천광역시 남동구 만수3동 111-168, 467",6,기타,미시행,평일+토요일+공휴일,00:00,23:59,00:00,23:59,00:00,23:59,무료,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,인천광역시 남동구 도시관리공단,032-460-0530,37.46321862,126.7271696,,2024-11-11,3530000,인천광역시 남동구,,"인천광역시 남동구 만수3동 111-168, 467",인천광역시
165-2-000087,만월7호,공영,노외,인천광역시 남동구 서판로64번길 65-1 (만수동),인천광역시 남동구 만수3동 109-366,13,기타,미시행,평일+토요일+공휴일,00:00,23:59,00:00,23:59,00:00,23:59,무료,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,인천광역시 남동구 도시관리공단,032-460-0530,37.46103803,126.7263249,,2024-11-11,3530000,인천광역시 남동구,,인천광역시 남동구 서판로64번길 65-1 (만수동),인천광역시
165-2-000088,시계공영주차장,공영,노외,,인천광역시 남동구 운연동 40-2,14,기타,미시행,평일+토요일+공휴일,00:00,23:59,00:00,23:59,00:00,23:59,무료,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,인천광역시 남동구 도시관리공단,032-460-0530,37.44335536,126.7667421,,2024-11-11,3530000,인천광역시 남동구,,인천광역시 남동구 운연동 40-2,인천광역시
165-2-000089,돌산마루제4호,공영,노외,,인천광역시 남동구 간석3동 37-47,14,기타,미시행,평일+토요일+공휴일,00:00,23:59,00:00,23:59,00:00,23:59,무료,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,인천광역시 남동구 도시관리공단,032-460-0530,37.46618522,126.7156912,,2024-11-11,3530000,인천광역시 남동구,,인천광역시 남동구 간석3동 37-47,인천광역시
165-2-000090,돌산마루제5호,공영,노외,,인천광역시 남동구 간석3동 37-109,10,기타,미시행,평일+토요일+공휴일,00:00,23:59,00:00,23:59,00:00,23:59,무료,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,인천광역시 남동구 도시관리공단,032-460-0530,37.4649799,126.7158923,,2024-11-11,3530000,인천광역시 남동구,,인천광역시 남동구 간석3동 37-109,인천광역시
165-2-000091,장수1호,공영,노외,,인천광역시 남동구 장수동 767-12,22,3,미시행,평일+토요일+공휴일,00:00,23:59,00:00,23:59,00:00,23:59,유료,30.0,400.0,15.0,200.0,5.0,4000.0,40000.0,카드,,인천광역시 남동구 도시관리공단,032-460-0530,37.45185192,126.7512545,,2024-11-11,3530000,인천광역시 남동구,,인천광역시 남동구 장수동 767-12,인천광역시
